interties,region_1,region_2,tag,type
INT Butte Montana,AB,US-Montana,AB-MT,international
INT Ingledow BPA; INT Nelway BPA,BC,US-Northwest,BC-WA,international
INT Milltown,NB,ISONE-Maine,NB-ME,international
INT Keswick; INT Lepreau,NB,ISONE-Maine,NB-ME,international
INT Drayton; INT Forbes; INT Moranville; INT Peace Gardens,MB,MISO-Dakota,MB-ND,international
INT Bunce; INT St. Clair; INT Waterman,ON,MISO-Michigan,ON-MI,international
INT Minnesota,ON,MISO-Minnesota,ON-MN,international
INT Madawaska; INT Beechwood; INT Tinker North; INT Tinker South,NB,NMISA-NorthernMaine,NB-ME,international
INT Sandy Pond; INT Highgate; INT Derby,QC-HVDC,ISONE,QC-NE,international
INT Massena Dundee; INT Dennison,QC,NYISO-HQ,QC-NY,international
INT Niagara,ON,NYISO-West,ON-NY,international
INT Massena Cornwall,ON,NYISO-West,ON-NY,international
INT Tioga,SK,MISO-Dakota,SK-ND,international
IPT Natal Coleman; IPT Cranbrook Chapel Rock; IPT Natal Pocaterra,BC,AB,BC-AB,interprovincial
IPT McNeill,SK,AB,SK-AB,interprovincial
IPT Whiteshell,ON,MB,ON-MB,interprovincial
IPT Island Falls,SK,MB,SK-MB,interprovincial
IPT EB Campbell; IPT Boundary Dam; IPT Tantallon; IPT Yorkton,SK,MB,SK-MB,interprovincial
IPT Onslow; IPT Amherst; IPT Church St,NB,NS,NB-NS,interprovincial
IPT Richmond Cove,NB,PEI,NB-PEI,interprovincial
IPT Madawaska; IPT Matapédia,NB,QC,NB-QC,interprovincial
IPT Woodbine,NLLAB,NS,NLLAB-NS,interprovincial
IPT Montagnais,NLLAB,QC,NLLAB-QC,interprovincial
IPT Kipawa; IPT Dymond,ON,QC,ON-QC,interprovincial
IPT Beauharnois; IPT Outaouais; IPT Masson; IPT Chats Falls; IPT Chenaux,ON,QC,ON-QC,interprovincial
